stratum_type,project,vendor,sequence_scope,sequence_granularity,from_family,to_family,count,conditional_probability,all_transition_share
overall,ALL,ALL,full_stream,hybrid_shell,shell:filesystem/navigation,shell:other,333,0.05521472392638037,0.0018563425035538089
overall,ALL,ALL,full_stream,hybrid_shell,shell:filesystem/navigation,shell:package/dependency,5,0.00082904990880451,2.7873010563871005e-05
overall,ALL,ALL,full_stream,hybrid_shell,shell:filesystem/navigation,shell:process/system,149,0.0247056872823744,0.0008306157148033559
overall,ALL,ALL,full_stream,hybrid_shell,shell:filesystem/navigation,shell:search/text,1642,0.2722599900514011,0.009153496669175238
overall,ALL,ALL,full_stream,hybrid_shell,shell:filesystem/navigation,shell:test,108,0.017907478030177417,0.0006020570281796137
overall,ALL,ALL,full_stream,hybrid_shell,shell:filesystem/navigation,skill,2,0.000331619963521804,1.1149204225548402e-05
overall,ALL,ALL,full_stream,hybrid_shell,shell:filesystem/navigation,task,66,0.010943458796219533,0.00036792373944309723
overall,ALL,ALL,full_stream,hybrid_shell,shell:filesystem/navigation,tool discovery,7,0.001160669872326314,3.9022214789419405e-05
overall,ALL,ALL,full_stream,hybrid_shell,shell:filesystem/navigation,wait/control,171,0.028353506881114245,0.0009532569612843883
overall,ALL,ALL,full_stream,hybrid_shell,shell:filesystem/navigation,write,73,0.012104128668545846,0.00040694595423251665
overall,ALL,ALL,full_stream,hybrid_shell,shell:git/repository,coordination,474,0.02402920004055561,0.002642361401454971
overall,ALL,ALL,full_stream,hybrid_shell,shell:git/repository,edit,455,0.023066004258339247,0.0025364439613122613
overall,ALL,ALL,full_stream,hybrid_shell,shell:git/repository,fetch,7,0.00035486160397445,3.9022214789419405e-05
overall,ALL,ALL,full_stream,hybrid_shell,shell:git/repository,multimodal,13,0.0006590286930954071,7.246982746606461e-05
overall,ALL,ALL,full_stream,hybrid_shell,shell:git/repository,other,25,0.0012673628713373213,0.00013936505281935503
overall,ALL,ALL,full_stream,hybrid_shell,shell:git/repository,plan/goal,298,0.01510696542634087,0.0016612314296067117
