stratum_type,project,vendor,scope,preceding_tool_family,gaps,gap_ms_p50,gap_ms_p90,gap_ms_p95,gap_ms_p99,gap_ms_max,gap_le_1s_share,gap_le_10s_share,gap_gt_60s_count,gap_gt_60s_share,gap_gt_10m_count,gap_gt_10m_share,share_of_stratum_gaps_gt_60s
project,agentsight,ALL,same_prompt,plan/goal,700,8478.0,33611.8,50775.44999999995,164330.74999999994,1084218,0.004285714285714286,0.6371428571428571,29,0.041428571428571426,2,0.002857142857142857,0.010473094980137234
project,agentsight,ALL,same_prompt,read,2966,3426.0,12909.0,20873.25,56929.699999999764,323319,0.25151719487525287,0.861429534726905,28,0.009440323668240054,0,0.0,0.010111953773925604
project,agentsight,ALL,same_prompt,search,304,1058.5,18971.699999999997,26196.89999999999,52883.13999999989,216986,0.4901315789473684,0.6348684210526315,2,0.006578947368421052,0,0.0,0.0007222824124232575
project,agentsight,ALL,same_prompt,shell,71697,6007.0,22262.20000000001,34946.59999999999,92312.2799999998,86242162,0.29930122599271936,0.6926091747213969,1582,0.022065079431496437,98,0.0013668633276148236,0.5713253882267967
project,agentsight,ALL,same_prompt,skill,28,5913.0,11235.5,12173.099999999999,58543.690000000024,75514,0.0,0.7142857142857143,1,0.03571428571428571,0,0.0,0.00036114120621162876
project,agentsight,ALL,same_prompt,task,948,8831.5,20637.400000000023,34105.2,136823.16999999998,715954,0.05168776371308017,0.6044303797468354,24,0.02531645569620253,1,0.0010548523206751054,0.00866738894907909
project,agentsight,ALL,same_prompt,tool discovery,43,4577.0,8274.000000000002,13853.199999999993,20823.579999999994,21643,0.0,0.9302325581395349,0,0.0,0,0.0,0.0
project,agentsight,ALL,same_prompt,wait/control,4732,20828.0,40194.70000000001,56169.39999999998,127699.93999999994,48891131,0.0452240067624683,0.21787827557058326,225,0.047548605240912936,3,0.0006339814032121725,0.08125677139761647
project,agentsight,ALL,same_prompt,write,121,5451.0,32894.0,76376.0,127903.59999999992,160226,0.0,0.6363636363636364,9,0.0743801652892562,0,0.0,0.0032502708559046588
project_vendor,agentsight,claude,all_adjacent,ALL,12226,4299.5,21063.5,52605.5,371423.0,66491206,0.1337313921151644,0.7982169147717978,565,0.04621298871257975,79,0.00646163912972354,1.0
project_vendor,agentsight,claude,all_adjacent,coordination,1,11458.0,11458.0,11458.0,11458.0,11458,0.0,0.0,0,0.0,0,0.0,0.0
project_vendor,agentsight,claude,all_adjacent,edit,1907,4915.0,18570.200000000004,44290.499999999985,222188.2800000002,47020721,0.01101206082852648,0.8122705820660724,82,0.04299947561615102,6,0.003146303093864709,0.14513274336283186
project_vendor,agentsight,claude,all_adjacent,fetch,157,1444.0,15719.400000000009,31312.799999999912,115903.03999999978,311606,0.36942675159235666,0.7452229299363057,4,0.025477707006369428,0,0.0,0.007079646017699115
project_vendor,agentsight,claude,all_adjacent,multimodal,11,43940.0,251009.0,310262.0,357664.4,369515,0.0,0.09090909090909091,5,0.45454545454545453,0,0.0,0.008849557522123894
project_vendor,agentsight,claude,all_adjacent,other,4,356561.0,18685274.700000007,22550173.34999999,25642092.269999992,26415072,0.0,0.0,3,0.75,2,0.5,0.005309734513274336
project_vendor,agentsight,claude,all_adjacent,plan/goal,6,51238.5,568274.0,826246.0,1032623.6000000002,1084218,0.0,0.3333333333333333,1,0.16666666666666666,1,0.16666666666666666,0.0017699115044247787
project_vendor,agentsight,claude,all_adjacent,read,3193,3709.0,17280.60000000001,37109.79999999971,209703.1599999998,6424346,0.2336360789226433,0.8271218290009396,100,0.03131850923896023,13,0.004071406201064829,0.17699115044247787
project_vendor,agentsight,claude,all_adjacent,search,299,1046.0,20387.399999999998,28655.899999999994,59412.899999999136,216986,0.4916387959866221,0.6187290969899666,3,0.010033444816053512,0,0.0,0.005309734513274336
project_vendor,agentsight,claude,all_adjacent,shell,6100,4188.5,20555.100000000013,51361.300000000025,418065.0700000008,45592626,0.10295081967213114,0.8088524590163935,271,0.04442622950819672,46,0.0075409836065573775,0.479646017699115
project_vendor,agentsight,claude,all_adjacent,skill,31,6256.0,11222.0,11964.0,56658.099999999955,75514,0.0,0.7419354838709677,1,0.03225806451612903,0,0.0,0.0017699115044247787
project_vendor,agentsight,claude,all_adjacent,task,337,8146.0,203123.80000000028,417467.39999999985,2877279.7199999983,66491206,0.10385756676557864,0.5519287833827893,78,0.2314540059347181,10,0.02967359050445104,0.13805309734513274
project_vendor,agentsight,claude,all_adjacent,tool discovery,43,4577.0,8274.000000000002,13853.199999999993,20823.579999999994,21643,0.0,0.9302325581395349,0,0.0,0,0.0,0.0
project_vendor,agentsight,claude,all_adjacent,wait/control,2,4832.0,5584.0,5678.0,5753.2,5772,0.0,1.0,0,0.0,0,0.0,0.0
project_vendor,agentsight,claude,all_adjacent,write,135,6750.0,73718.60000000005,94560.49999999997,486825.679999999,1667728,0.0,0.5851851851851851,17,0.1259259259259259,1,0.007407407407407408,0.03008849557522124
